MSZoning,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplace,GarageArea,SaleCondition,SalePrice
RL,8450,1Fam,2Story,7,5,2003,Y,1710,2,1,3,1,Gd,N,548,Normal,208500
RL,9600,1Fam,1Story,6,8,1976,Y,1262,2,0,3,1,TA,Y,460,Normal,181500
RL,11250,1Fam,2Story,7,5,2001,Y,1786,2,1,3,1,Gd,Y,608,Normal,223500
RL,9550,1Fam,2Story,7,5,1915,Y,1717,1,0,3,1,Gd,Y,642,Abnorml,140000
RL,14260,1Fam,2Story,8,5,2000,Y,2198,2,1,4,1,Gd,Y,836,Normal,250000
RL,14115,1Fam,1.5Fin,5,5,1993,Y,1362,1,1,1,1,TA,N,480,Normal,143000
RL,10084,1Fam,1Story,8,5,2004,Y,1694,2,0,3,1,Gd,Y,636,Normal,307000
RL,10382,1Fam,2Story,7,6,1973,Y,2090,2,1,3,1,TA,Y,484,Normal,200000
RM,6120,1Fam,1.5Fin,7,5,1931,Y,1774,2,0,2,2,TA,Y,468,Abnorml,129900
RL,7420,2fmCon,1.5Unf,5,6,1939,Y,1077,1,0,2,2,TA,Y,205,Normal,118000
RL,11200,1Fam,1Story,5,5,1965,Y,1040,1,0,3,1,TA,N,384,Normal,129500
RL,11924,1Fam,2Story,9,5,2005,Y,2324,3,0,4,1,Ex,Y,736,Partial,345000
RL,12968,1Fam,1Story,5,6,1962,Y,912,1,0,2,1,TA,N,352,Normal,144000
RL,10652,1Fam,1Story,7,5,2006,Y,1494,2,0,3,1,Gd,Y,840,Partial,279500
RL,10920,1Fam,1Story,6,5,1960,Y,1253,1,1,2,1,TA,Y,352,Normal,157000
RM,6120,1Fam,1.5Unf,7,8,1929,Y,854,1,0,2,1,TA,N,576,Normal,132000
RL,11241,1Fam,1Story,6,7,1970,Y,1004,1,0,2,1,TA,Y,480,Normal,149000
RL,10791,Duplex,1Story,4,5,1967,Y,1296,2,0,2,2,TA,N,516,Normal,90000
RL,13695,1Fam,1Story,5,5,2004,Y,1114,1,1,3,1,Gd,N,576,Normal,159000
RL,7560,1Fam,1Story,5,6,1958,Y,1339,1,0,3,1,TA,N,294,Abnorml,139000
RL,14215,1Fam,2Story,8,5,2005,Y,2376,3,1,4,1,Gd,Y,853,Partial,325300
RM,7449,1Fam,1.5Unf,7,7,1930,Y,1108,1,0,3,1,Gd,Y,280,Normal,139400
RL,9742,1Fam,1Story,8,5,2002,Y,1795,2,0,3,1,Gd,Y,534,Normal,230000
RM,4224,TwnhsE,1Story,5,7,1976,Y,1060,1,0,3,1,TA,Y,572,Normal,129900
RL,8246,1Fam,1Story,5,8,1968,Y,1060,1,0,3,1,Gd,Y,270,Normal,154000
RL,14230,1Fam,1Story,8,5,2007,Y,1600,2,0,3,1,Gd,Y,890,Normal,256300
RL,7200,1Fam,1Story,5,7,1951,Y,900,1,0,3,1,Gd,N,576,Normal,134800
RL,11478,1Fam,1Story,8,5,2007,Y,1704,2,0,3,1,Gd,Y,772,Normal,306000
RL,16321,1Fam,1Story,5,6,1957,Y,1600,1,0,2,1,TA,Y,319,Normal,207500
RM,6324,1Fam,1Story,4,6,1927,N,520,1,0,1,1,Fa,N,240,Normal,68500
C (all),8500,1Fam,2Story,4,4,1920,N,1317,1,0,3,1,TA,N,250,Normal,40000
RL,8544,1Fam,1Story,5,6,1966,Y,1228,1,1,3,1,Gd,N,271,Normal,149350
RL,11049,1Fam,1Story,8,5,2007,Y,1234,2,0,3,1,Gd,N,484,Normal,179900
RL,10552,1Fam,1Story,5,5,1959,Y,1700,1,1,4,1,Gd,Y,447,Normal,165500
RL,7313,TwnhsE,1Story,9,5,2005,Y,1561,2,0,2,1,Ex,Y,556,Normal,277500
RL,13418,1Fam,2Story,8,5,2004,Y,2452,3,1,4,1,Gd,Y,691,Normal,309000
RL,10859,1Fam,1Story,5,5,1994,Y,1097,1,1,3,1,TA,N,672,Normal,145000
RL,8532,1Fam,1Story,5,6,1954,Y,1297,1,0,3,1,TA,Y,498,Normal,153000
RL,7922,1Fam,1Story,5,7,1953,Y,1057,1,0,3,1,Gd,N,246,Abnorml,109000
RL,6040,Duplex,1Story,4,5,1955,N,1152,2,0,2,2,Fa,N,0,AdjLand,82000
